 [4641/4641 1:58:21, Epoch 2/3]
Step	Training Loss
5	1.321300
10	1.701700
15	1.911200
20	2.274500
25	2.495400
30	2.795000
35	3.273900
40	3.544900
45	3.673700
50	3.974000
55	1.259100
60	1.412300
65	1.667600
70	1.870100
75	1.982500
80	2.092800
85	2.219000
90	2.211300
95	2.095600
100	2.131100
105	1.073300
110	1.100000
115	1.195500
120	1.208700
125	1.393900
130	1.450700
135	1.414900
140	1.374000
145	1.348500
150	1.529100
155	0.943900
160	0.934400
165	1.008500
170	1.032200
175	1.250300
180	1.208500
185	1.215600
190	1.195600
195	1.180300
200	1.227700
205	0.860600
210	0.863000
215	0.889000
220	0.896900
225	1.065600
230	1.174700
235	1.039900
240	1.093800
245	1.119100
250	1.074100
255	0.862500
260	0.800700
265	0.956200
270	0.858800
275	1.006100
280	1.085600
285	1.097600
290	1.019200
295	0.988600
300	1.022400
305	0.820600
310	0.836800
315	0.940800
320	0.872100
325	1.017000
330	1.064800
335	1.033100
340	0.977000
345	1.097500
350	0.891800
355	0.800200
360	0.766200
365	0.813600
370	0.897200
375	0.913600
380	1.014400
385	1.004300
390	0.987700
395	0.981200
400	0.915500
405	0.781900
410	0.796500
415	0.860500
420	0.868200
425	1.015900
430	1.004500
435	0.980700
440	0.930000
445	0.939600
450	0.899700
455	0.793100
460	0.731100
465	0.854200
470	0.821000
475	0.961800
480	0.966500
485	0.893400
490	0.841400
495	0.930600
500	0.803200
505	0.772400
510	0.726200
515	0.799500
520	0.751900
525	0.928400
530	0.971200
535	0.965900
540	0.907100
545	0.914600
550	0.796700
555	0.754000
560	0.760000
565	0.795700
570	0.744300
575	0.960300
580	0.953800
585	0.995400
590	0.922600
595	0.887200
600	0.802800
605	0.751300
610	0.728600
615	0.817000
620	0.789600
625	0.852500
630	0.936900
635	0.945900
640	0.922400
645	0.885100
650	0.773600
655	0.769800
660	0.765000
665	0.819000
670	0.748000
675	0.940100
680	0.944500
685	1.001200
690	0.818000
695	0.839000
700	0.789200
705	0.767000
710	0.771700
715	0.807200
720	0.835800
725	0.882300
730	1.035900
735	0.901100
740	0.934700
745	0.868900
750	0.823000
755	0.750000
760	0.748000
765	0.768000
770	0.825400
775	0.944900
780	0.937600
785	0.866400
790	0.766600
795	0.891200
800	0.853600
805	0.723300
810	0.716100
815	0.808300
820	0.766600
825	0.939000
830	0.932800
835	0.889700
840	0.917500
845	0.823600
850	0.827000
855	0.719200
860	0.742300
865	0.704700
870	0.788100
875	0.832200
880	0.914300
885	0.908800
890	0.853000
895	0.874000
900	0.797200
905	0.732900
